City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Sanguéya,10.7,-14.3667,67.14,89,22,3.24,GN,1613190637
Arraial do Cabo,-22.9661,-42.0278,75.58,88,100,13.91,BR,1613190637
Djambala,-2.5447,14.7533,69.89,90,89,3.78,CG,1613190637
Butaritari,3.0707,172.7902,81.52,82,3,11.07,KI,1613190637
Te Anau,-45.4167,167.7167,65.66,42,64,7.96,NZ,1613190637
Nikolskoye,59.7035,30.7861,3.0,85,75,2.24,RU,1613190637
Kapuskasing,49.4169,-82.4331,-18.4,76,22,3.44,CA,1613190638
Jamestown,42.097,-79.2353,14.0,79,1,5.75,US,1613190577
La Huerta,19.4667,-104.65,55.35,93,0,1.83,MX,1613190638
Northam,51.0333,-4.2167,36.0,78,100,8.01,GB,1613190638
Lochgilphead,56.038,-5.4321,28.0,74,100,11.5,GB,1613190638
Balabac,7.9868,117.0645,82.4,78,92,15.28,PH,1613190639
Pisco,-13.7,-76.2167,73.4,73,0,10.36,PE,1613190639
Kawalu,-7.3817,108.2082,84.6,71,87,1.79,ID,1613190639
Matara,5.9485,80.5353,86.11,60,40,1.9,LK,1613190639
Praia,14.9215,-23.5087,68.0,73,0,21.85,CV,1613190639
Hervey Bay,-25.2986,152.8535,86.0,48,67,11.5,AU,1613190639
Lamu,-2.2717,40.902,78.8,89,20,4.61,KE,1613190639
Orlik,52.5178,99.825,-9.4,75,100,1.48,RU,1613190394
Dunedin,-45.8742,170.5036,64.99,72,74,10.0,NZ,1613190640
Cape Town,-33.9258,18.4232,66.0,88,0,3.44,ZA,1613190640
Hobart,-42.8794,147.3294,72.0,59,40,17.27,AU,1613190640
Vanimo,-2.6741,141.3028,79.11,84,100,6.67,PG,1613190640
Puerto Ayora,-0.7393,-90.3518,75.99,95,93,3.0,EC,1613190425
Kabare,-2.4683,28.8242,63.91,82,100,1.16,CD,1613190641
Tasiilaq,65.6145,-37.6368,32.0,64,90,41.43,GL,1613190641
Ţahţā,26.7693,31.5021,50.0,87,0,9.22,EG,1613190641
Rio Grande,-32.035,-52.0986,69.01,96,100,11.92,BR,1613190641
Korla,41.7597,86.1469,43.11,56,23,5.68,CN,1613190642
Yellowknife,62.456,-114.3525,-18.0,76,20,4.61,CA,1613190642
Mitsamiouli,-11.3847,43.2844,82.4,78,75,13.8,KM,1613190642
Severo-Kuril'sk,50.6789,156.125,28.58,94,100,9.46,RU,1613190642
Lahaina,20.8783,-156.6825,80.6,54,40,10.36,US,1613190615
Cidreira,-30.1811,-50.2056,75.0,80,100,16.15,BR,1613190643
Rikitea,-23.1203,-134.9692,79.48,77,8,12.59,PF,1613190643
Coro,11.4045,-69.6734,75.16,82,16,14.9,VE,1613190643
Dallas,32.7668,-96.7836,24.8,74,90,11.5,US,1613189831
Bethel,41.3712,-73.414,28.4,36,90,3.44,US,1613190644
Emerald,-23.5333,148.1667,95.0,28,40,8.05,AU,1613190644
Busselton,-33.65,115.3333,81.97,37,0,5.79,AU,1613190644
Roslavl',53.9528,32.8639,6.96,94,100,16.08,RU,1613190645
Sinnamary,5.3833,-52.95,77.67,87,90,13.38,GF,1613190645
Port Hardy,50.6996,-127.4199,33.8,69,90,29.93,CA,1613190600
Castro,-24.7911,-50.0119,60.21,94,19,2.26,BR,1613190393
Ambon City,-3.6954,128.1814,89.6,66,40,6.91,ID,1613190645
Tautira,-17.7333,-149.15,78.8,73,75,18.41,PF,1613190646
Nhulunbuy,-12.2333,136.7667,86.0,66,75,9.22,AU,1613190612
Port Alfred,-33.5906,26.891,75.0,95,83,3.0,ZA,1613190549
Luwingu,-10.2621,29.9271,63.59,95,92,8.08,ZM,1613190646
Nipawin,53.3668,-104.0009,-32.8,74,1,2.3,CA,1613190481
Kovdor,67.5662,30.4758,-7.47,91,94,2.24,RU,1613190647
Semeykino,48.3264,39.5337,16.88,82,80,19.08,UA,1613190697
Impfondo,1.6381,18.0667,73.35,71,75,1.59,CG,1613190697
Brae,60.3964,-1.353,37.4,52,90,26.46,GB,1613190697
Alenquer,-1.9417,-54.7383,80.6,89,20,4.61,BR,1613190697
Fare,-16.7,-151.0167,81.77,73,85,10.47,PF,1613190697
Vaini,-21.2,-175.2,86.0,74,75,8.05,TO,1613190698
Hithadhoo,-0.6,73.0833,82.54,73,92,11.81,MV,1613190698
Ilulissat,69.2167,-51.1,10.4,85,75,3.44,GL,1613190698
Cockburn Town,21.4612,-71.1419,76.82,77,0,23.49,TC,1613190698
Örnsköldsvik,63.2909,18.7153,24.8,80,45,18.41,SE,1613190698
Klaksvík,62.2266,-6.589,37.4,70,90,23.02,FO,1613190695
Mataura,-46.1927,168.8643,68.0,67,25,4.0,NZ,1613190546
Altay,47.8667,88.1167,16.32,85,51,1.23,CN,1613190699
Bambous Virieux,-20.3428,57.7575,82.4,69,75,13.8,MU,1613190699
Punta Arenas,-53.15,-70.9167,53.6,62,90,4.61,CL,1613190559
San Quintín,30.4833,-115.95,56.3,77,2,13.38,MX,1613190699
Sobolevo,54.4299,31.8996,8.6,95,100,21.09,RU,1613190699
Hasaki,35.7333,140.8333,63.0,51,40,5.75,JP,1613190682
Ribeira Grande,38.5167,-28.7,60.89,78,100,30.78,PT,1613190588
Deloraine,-41.5333,146.6667,73.99,37,40,9.22,AU,1613190700
Albany,42.6001,-73.9662,12.0,55,79,4.05,US,1613190700
Truro,50.2653,-5.0544,37.4,75,100,35.68,GB,1613190608
Port Macquarie,-31.4333,152.9167,71.6,100,75,4.61,AU,1613190701
Bamako,12.65,-8.0,66.2,37,0,1.14,ML,1613190701
Kapaa,22.0752,-159.319,73.4,64,1,4.61,US,1613190701
Kansanshi,-12.0951,26.4273,61.25,97,100,6.02,ZM,1613190701
Dyer,36.0501,-89.4001,21.99,93,20,10.36,US,1613190701
San Cristobal,7.7669,-72.225,66.42,72,96,1.21,VE,1613190701
Flin Flon,54.7682,-101.865,-29.11,83,8,1.32,CA,1613190702
Bredasdorp,-34.5322,20.0403,69.8,83,27,5.75,ZA,1613190702
Yulara,-25.2406,130.9889,75.2,57,90,14.97,AU,1613190702
Fort Saint James,54.4333,-124.25,-9.87,89,92,1.32,CA,1613190702
Hilo,19.7297,-155.09,75.2,69,20,4.61,US,1613190357
Airai,-8.9266,125.4092,71.13,96,89,2.59,TL,1613190703
Kutum,14.2,24.6667,58.28,35,51,12.1,SD,1613190703
College,64.8569,-147.8028,-2.0,84,1,2.53,US,1613190451
Lompoc,34.6391,-120.4579,51.8,87,1,12.66,US,1613190460
Labuhan,-6.8844,112.2051,83.84,78,100,8.23,ID,1613190704
New Norfolk,-42.7826,147.0587,72.0,42,85,1.01,AU,1613190704
Stabat,3.761,98.4513,87.8,66,40,8.05,ID,1613190705
East London,-33.0153,27.9116,69.8,94,0,4.61,ZA,1613190705
Hurghada,27.2574,33.8129,57.2,58,0,6.91,EG,1613190705
West Bay,19.3667,-81.4167,79.0,83,20,8.05,KY,1613190705
Aljezur,37.3191,-8.8033,50.52,70,85,4.09,PT,1613190705
Muzhi,65.3667,64.6667,-17.48,88,100,0.83,RU,1613190705
Huarmey,-10.0681,-78.1522,72.79,68,97,6.62,PE,1613190706
Kaitangata,-46.2817,169.8464,64.99,75,87,5.99,NZ,1613190435
Yilan,24.757,121.753,71.01,94,75,6.91,TW,1613190706
Netolice,49.0493,14.197,10.99,87,100,3.13,CZ,1613190706
Frontera,26.9333,-101.45,41.0,99,1,5.75,MX,1613190706
Forsytheganj,52.6333,29.7333,7.93,94,100,18.75,BY,1613190441
Kieta,-6.2167,155.6333,81.32,82,89,12.71,PG,1613190669
Iqaluit,63.7506,-68.5145,-11.2,77,20,8.05,CA,1613190560
Lebu,-37.6167,-73.65,57.27,85,0,14.65,CL,1613190707
Anadyr,64.75,177.4833,-11.0,70,20,22.37,RU,1613190507
Pacifica,37.6138,-122.4869,53.6,82,75,21.85,US,1613190707
Lewistown,40.5992,-77.5714,23.0,68,90,3.44,US,1613190556
Zamora,-4.0692,-78.9567,69.19,72,79,2.01,EC,1613190707
Ponta do Sol,32.6667,-17.1,55.0,73,28,3.0,PT,1613190341
Avarua,-21.2078,-159.775,84.2,65,0,5.75,CK,1613190334
Yining,29.0361,114.5636,68.85,53,2,1.1,CN,1613190757
Mazyr,52.0495,29.2456,8.2,95,100,17.72,BY,1613190757
Jacareacanga,-6.2222,-57.7528,74.3,95,83,0.63,BR,1613190758
Chul'man,56.8479,124.9104,-10.86,87,100,11.9,RU,1613190758
Yaan,7.3833,8.5667,71.94,38,85,3.31,NG,1613190390
Bud,39.447,-86.1758,23.0,74,90,8.05,US,1613190758
Mogadishu,2.0371,45.3438,78.8,65,75,13.8,SO,1613190758
Bluff,-46.6,168.3333,68.0,67,53,4.0,NZ,1613190088
São Filipe,14.8961,-24.4956,72.75,60,0,17.11,CV,1613190759
Saint Paul Harbor,57.79,-152.4072,35.6,75,90,14.97,US,1613190365
Piripiri,-4.2733,-41.7769,72.37,94,67,0.13,BR,1613190759
Zaysan,47.4667,84.8667,10.58,93,70,1.59,KZ,1613190398
La Palma,33.8464,-118.0467,59.0,63,1,5.57,US,1613190759
Karasburg,-28.0167,18.75,73.0,61,99,2.17,NA,1613190712
Kirakira,-10.4544,161.9205,82.65,79,99,10.31,SB,1613190759
Koslan,63.4564,48.8989,-12.46,89,14,3.47,RU,1613190411
Nanortalik,60.1432,-45.2371,37.04,75,100,8.66,GL,1613190390
Puerto del Rosario,28.5004,-13.8627,64.4,77,90,17.27,ES,1613190760
Mar del Plata,-38.0023,-57.5575,69.8,94,90,9.22,AR,1613190164
Nara,34.6851,135.8049,66.2,48,40,4.61,JP,1613190760
Alice Springs,-23.7,133.8833,87.01,88,90,8.05,AU,1613190406
Kruisfontein,-34.0033,24.7314,73.99,93,100,2.37,ZA,1613190371
Maceió,-9.6658,-35.7353,75.2,94,75,3.44,BR,1613190761
Samarai,-10.6167,150.6667,84.11,65,24,7.34,PG,1613190761
Uusikaupunki,60.8004,21.4084,24.8,93,0,5.75,FI,1613190761
Port-Cartier,50.0334,-66.8654,15.8,67,90,8.43,CA,1613190409
Gizo Government Station,-8.103,156.8419,83.46,74,98,9.4,SB,1613190761
Alekseyevsk,57.8406,108.3492,-6.18,87,97,7.11,RU,1613190762
Itarema,-2.9248,-39.9167,78.49,86,3,8.59,BR,1613190362
Katsuura,35.1333,140.3,62.01,66,75,3.44,JP,1613190446
Hermanus,-34.4187,19.2345,72.0,81,0,8.01,ZA,1613190347
Anantapur,14.6833,77.6,80.17,29,15,6.96,IN,1613190763
Hīt,33.6416,42.8251,58.3,45,1,4.88,IQ,1613190763
George Town,5.4112,100.3354,91.4,46,20,6.91,MY,1613190341
